concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.000,0.000,0.000,0.000,111708,1841,427
laboratory value,0.001,0.000,0.001,0.000,1688667,1658,272
respiratory,0.004,0.013,0.004,0.006,34658510,470,107
hemodynamics,0.004,0.005,0.004,0.005,16340661,245,58
fluid balance,0.000,0.000,0.000,0.000,634054,235,25
renal replacement therapy,0.009,0.004,0.009,0.005,1228867,106,28
infectiology,0.000,0.000,0.000,0.000,1651575,94,25
clinical score,0.014,0.101,0.014,0.025,1017883,69,26
sofa score,0.000,0.000,0.000,0.000,234649,57,27
neurology,0.000,0.000,0.000,0.000,108218,54,11
demographics,0.000,0.000,0.000,0.000,21412,39,8
nice data,0.000,0.000,0.000,0.000,1919,38,29
position,0.000,0.000,0.000,0.000,56314,36,1
lda,0.000,0.000,0.000,0.000,1369,30,6
admission information,0.091,0.091,0.091,0.091,2349,11,5
