concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.011,0.017,0.011,0.011,1765989,2181,275
medication,0.001,0.003,0.001,0.002,132262,2161,443
respiratory,0.013,0.029,0.013,0.013,36804984,557,109
hemodynamics,0.003,0.007,0.003,0.004,16383243,351,60
fluid balance,0.000,0.000,0.000,0.000,829916,326,25
infectiology,0.008,0.058,0.008,0.015,1763354,120,27
renal replacement therapy,0.000,0.000,0.000,0.000,1229422,109,28
neurology,0.000,0.000,0.000,0.000,127101,94,14
clinical score,0.000,0.000,0.000,0.000,1033625,87,26
sofa score,0.000,0.000,0.000,0.000,235894,60,27
demographics,0.000,0.000,0.000,0.000,24079,47,9
position,0.000,0.000,0.000,0.000,56456,39,1
nice data,0.053,0.105,0.053,0.070,1919,38,29
lda,0.000,0.000,0.000,0.000,1369,30,6
admission information,0.000,0.000,0.000,0.000,2349,11,5
