concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.743,0.725,0.743,0.719,1774342,2363,275
medication,0.948,0.948,0.948,0.944,137480,2192,443
respiratory,0.759,0.737,0.759,0.732,36832929,735,109
hemodynamics,0.928,0.914,0.928,0.916,16432564,615,60
fluid balance,0.799,0.672,0.799,0.720,1013344,364,25
infectiology,0.776,0.866,0.776,0.795,1768646,134,27
neurology,0.932,0.898,0.932,0.912,131419,118,14
renal replacement therapy,0.734,0.793,0.734,0.738,1229422,109,28
clinical score,0.845,0.878,0.845,0.834,1039762,97,26
sofa score,0.617,0.850,0.617,0.686,235894,60,27
demographics,0.894,0.884,0.894,0.868,24079,47,9
position,0.875,1.000,0.875,0.933,56552,40,1
nice data,0.711,0.618,0.711,0.643,1919,38,29
lda,0.833,0.908,0.833,0.828,1369,30,6
admission information,0.818,0.718,0.818,0.758,2349,11,5
