concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.000,0.000,0.000,0.000,127054,2069,439
laboratory value,0.006,0.019,0.006,0.007,1730767,1951,274
respiratory,0.006,0.021,0.006,0.005,35408626,514,109
fluid balance,0.000,0.000,0.000,0.000,738191,302,25
hemodynamics,0.004,0.009,0.004,0.005,16359741,284,60
infectiology,0.000,0.000,0.000,0.000,1762753,112,26
renal replacement therapy,0.000,0.000,0.000,0.000,1229422,109,28
clinical score,0.000,0.000,0.000,0.000,1033535,78,26
neurology,0.014,0.028,0.014,0.019,116579,71,11
sofa score,0.000,0.000,0.000,0.000,235894,60,27
demographics,0.000,0.000,0.000,0.000,23967,42,8
position,0.026,0.006,0.026,0.009,56456,39,1
nice data,0.026,0.211,0.026,0.047,1919,38,29
lda,0.033,0.100,0.033,0.050,1369,30,6
admission information,0.000,0.000,0.000,0.000,2349,11,5
