concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.002,0.007,0.002,0.003,121849,2005,438
laboratory value,0.002,0.001,0.002,0.002,1706461,1851,274
respiratory,0.014,0.028,0.014,0.018,35387626,494,109
fluid balance,0.000,0.000,0.000,0.000,726065,283,25
hemodynamics,0.004,0.002,0.004,0.003,16354785,264,60
renal replacement therapy,0.000,0.000,0.000,0.000,1229422,109,28
infectiology,0.000,0.000,0.000,0.000,1762589,106,26
clinical score,0.000,0.000,0.000,0.000,1024506,75,26
neurology,0.000,0.000,0.000,0.000,116572,68,11
sofa score,0.000,0.000,0.000,0.000,235894,60,27
demographics,0.000,0.000,0.000,0.000,23967,42,8
position,0.000,0.000,0.000,0.000,56456,39,1
nice data,0.053,0.140,0.053,0.077,1919,38,29
lda,0.000,0.000,0.000,0.000,1369,30,6
admission information,0.000,0.000,0.000,0.000,2349,11,5
