concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.000,0.000,0.000,0.000,119492,1927,432
laboratory value,0.003,0.005,0.003,0.004,1703264,1762,273
respiratory,0.006,0.025,0.006,0.008,35351045,484,108
fluid balance,0.000,0.000,0.000,0.000,664891,258,25
hemodynamics,0.004,0.002,0.004,0.003,16341242,250,59
renal replacement therapy,0.000,0.000,0.000,0.000,1229057,107,28
infectiology,0.010,0.044,0.010,0.016,1762481,103,26
clinical score,0.000,0.000,0.000,0.000,1017907,72,26
neurology,0.000,0.000,0.000,0.000,111997,60,11
sofa score,0.000,0.000,0.000,0.000,235479,59,27
demographics,0.000,0.000,0.000,0.000,21412,39,8
nice data,0.026,0.105,0.026,0.042,1919,38,29
position,0.000,0.000,0.000,0.000,56394,38,1
lda,0.000,0.000,0.000,0.000,1369,30,6
admission information,0.000,0.000,0.000,0.000,2349,11,5
