concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.001,0.003,0.001,0.001,1494890,4072,317
medication,0.002,0.002,0.002,0.002,509433,3145,641
fluid balance,0.004,0.105,0.004,0.006,616047,1823,25
respiratory,0.000,0.000,0.000,0.000,92837021,1276,116
hemodynamics,0.000,0.000,0.000,0.000,35972492,720,63
nice data,0.004,0.020,0.004,0.007,45383,247,55
renal replacement therapy,0.000,0.000,0.000,0.000,6771802,222,39
neurology,0.005,0.045,0.005,0.009,331823,198,12
infectiology,0.011,0.004,0.011,0.005,2502565,178,27
clinical score,0.000,0.000,0.000,0.000,1444828,145,28
position,0.000,0.000,0.000,0.000,61296,131,3
demographics,0.000,0.000,0.000,0.000,20403,77,11
admission information,0.000,0.000,0.000,0.000,16559,61,9
lda,0.000,0.000,0.000,0.000,759,36,7
sofa score,0.000,0.000,0.000,0.000,93674,30,22
