concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.009,0.047,0.009,0.010,1762163,4744,322
medication,0.001,0.003,0.001,0.002,696048,4125,682
fluid balance,0.003,0.007,0.003,0.004,795249,2169,27
respiratory,0.004,0.016,0.004,0.006,95543480,2110,121
hemodynamics,0.008,0.006,0.008,0.006,37927558,922,63
nice data,0.019,0.021,0.019,0.020,52946,265,58
neurology,0.004,0.080,0.004,0.008,427327,244,12
renal replacement therapy,0.012,0.045,0.012,0.019,6962252,242,39
infectiology,0.004,0.002,0.004,0.002,2674248,228,28
clinical score,0.006,0.004,0.006,0.005,1453680,174,28
position,0.000,0.000,0.000,0.000,72542,149,3
demographics,0.008,0.007,0.008,0.007,28772,131,11
admission information,0.000,0.000,0.000,0.000,16559,61,9
sofa score,0.000,0.000,0.000,0.000,104364,41,26
lda,0.000,0.000,0.000,0.000,870,40,7
