concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.03714340417384645,0.16978295722094527,0.03714340417384645,0.039250354644079805,1825212,5223,323
medication,0.011570602099850011,0.027550998860341586,0.011570602099850011,0.011941031402137073,821847,4667,694
respiratory,0.039473684210526314,0.07679358246342703,0.039473684210526314,0.04601396993476967,97194152,3648,123
fluid balance,0.020635575732562937,0.040932147739397656,0.020635575732562937,0.023539694932346363,871004,2423,28
hemodynamics,0.012649332396345749,0.061493724790553525,0.012649332396345749,0.01586263403953477,38040707,1423,63
infectiology,0.02097902097902098,0.03278610088215577,0.02097902097902098,0.022787170439408148,2724534,286,28
neurology,0.032490974729241874,0.10977956000253727,0.032490974729241874,0.04889183355583286,520396,277,13
nice data,0.014925373134328358,0.00749970386164416,0.014925373134328358,0.009666895626115543,53227,268,59
clinical score,0.027131782945736434,0.025190023155139435,0.027131782945736434,0.02519729941170372,1519631,258,28
renal replacement therapy,0.008,0.00805,0.008,0.006941798941798943,6992810,250,39
position,0.24358974358974358,0.022933877975644088,0.24358974358974358,0.0418179566621338,72969,156,4
demographics,0.05442176870748299,0.07906118969326861,0.05442176870748299,0.046354442632021826,31050,147,11
admission information,0.0,0.0,0.0,0.0,16559,61,9
sofa score,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,109769,47,27
lda,0.11904761904761904,0.10090702947845805,0.11904761904761904,0.1043956043956044,920,42,7
