concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.037,0.170,0.037,0.039,1825212,5223,323
medication,0.012,0.028,0.012,0.012,821847,4667,694
respiratory,0.039,0.077,0.039,0.046,97194152,3648,123
fluid balance,0.021,0.041,0.021,0.024,871004,2423,28
hemodynamics,0.013,0.061,0.013,0.016,38040707,1423,63
infectiology,0.021,0.033,0.021,0.023,2724534,286,28
neurology,0.032,0.110,0.032,0.049,520396,277,13
nice data,0.015,0.007,0.015,0.010,53227,268,59
clinical score,0.027,0.025,0.027,0.025,1519631,258,28
renal replacement therapy,0.008,0.008,0.008,0.007,6992810,250,39
position,0.244,0.023,0.244,0.042,72969,156,4
demographics,0.054,0.079,0.054,0.046,31050,147,11
admission information,0.000,0.000,0.000,0.000,16559,61,9
sofa score,0.021,0.021,0.021,0.021,109769,47,27
lda,0.119,0.101,0.119,0.104,920,42,7
