concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.024,0.132,0.024,0.028,1808326,5101,323
medication,0.007,0.023,0.007,0.009,789823,4543,693
respiratory,0.015,0.041,0.015,0.020,97183302,2984,122
fluid balance,0.021,0.087,0.021,0.031,865058,2365,28
hemodynamics,0.009,0.008,0.009,0.007,38023154,1165,63
infectiology,0.033,0.089,0.033,0.044,2724053,274,28
neurology,0.033,0.255,0.033,0.055,518762,273,13
nice data,0.030,0.052,0.030,0.034,53227,268,59
renal replacement therapy,0.012,0.116,0.012,0.018,6992009,249,39
clinical score,0.009,0.017,0.009,0.009,1516946,220,28
position,0.078,0.007,0.078,0.014,72865,154,4
demographics,0.014,0.018,0.014,0.013,30880,145,11
admission information,0.000,0.000,0.000,0.000,16559,61,9
sofa score,0.000,0.000,0.000,0.000,106069,43,27
lda,0.024,0.000,0.024,0.000,920,42,7
