concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.007,0.146,0.007,0.010,1608106,4550,322
medication,0.004,0.012,0.004,0.004,631596,3788,673
fluid balance,0.008,0.032,0.008,0.013,708849,2048,26
respiratory,0.002,0.007,0.002,0.002,94900145,1814,121
hemodynamics,0.007,0.002,0.007,0.002,36423196,837,63
nice data,0.015,0.024,0.015,0.018,52701,261,56
renal replacement therapy,0.029,0.056,0.029,0.038,6946065,239,39
neurology,0.000,0.000,0.000,0.000,413769,233,12
infectiology,0.000,0.000,0.000,0.000,2671182,214,28
clinical score,0.006,0.012,0.006,0.008,1453612,162,28
position,0.000,0.000,0.000,0.000,71387,146,3
demographics,0.009,0.009,0.009,0.009,27089,117,11
admission information,0.000,0.000,0.000,0.000,16559,61,9
lda,0.025,0.062,0.025,0.036,870,40,7
sofa score,0.000,0.000,0.000,0.000,97959,34,23
