concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.010,0.036,0.010,0.012,1704745,1072,186
respiratory,0.007,0.019,0.007,0.008,76784659,712,95
unmapped,0.004,0.111,0.004,0.007,21341039,566,1
hemodynamics,0.014,0.009,0.014,0.008,38880247,288,53
fluid balance,0.020,0.049,0.020,0.025,762206,199,16
renal replacement therapy,0.017,0.005,0.017,0.006,4608041,180,24
medication,0.000,0.000,0.000,0.000,197849,121,64
infectiology,0.000,0.000,0.000,0.000,1303187,52,13
clinical score,0.000,0.000,0.000,0.000,1023791,51,12
sofa score,0.000,0.000,0.000,0.000,18398,24,8
demographics,0.000,0.000,0.000,0.000,838517,17,5
neurology,0.000,0.000,0.000,0.000,22176,13,3
