concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.029,0.083,0.029,0.029,2250039,1396,200
unmapped,0.007,0.047,0.007,0.012,27344802,981,1
respiratory,0.042,0.071,0.042,0.045,90335822,867,104
hemodynamics,0.029,0.029,0.029,0.027,40038540,349,54
fluid balance,0.012,0.032,0.012,0.017,1071311,324,19
renal replacement therapy,0.019,0.029,0.019,0.020,6567641,211,26
medication,0.011,0.021,0.011,0.014,324144,189,74
infectiology,0.000,0.000,0.000,0.000,2788149,92,14
clinical score,0.000,0.000,0.000,0.000,1231526,68,14
demographics,0.051,0.008,0.051,0.015,867138,59,7
sofa score,0.000,0.000,0.000,0.000,25012,32,12
neurology,0.095,0.056,0.095,0.069,54979,21,6
nice data,0.000,0.000,0.000,0.000,1290,1,1
