concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000826983283123634,0.07954545454545454,0.000826983283123634,0.001636948260742473,36948290,16929,1
medication,0.0018269011189769354,0.004806026902803577,0.0018269011189769354,0.001673040152468357,1342176,8758,747
laboratory value,0.021919745448117377,0.04548792489482665,0.021919745448117377,0.02371243848621205,3337866,5657,324
respiratory,0.00419219606578523,0.0065678119803805075,0.00419219606578523,0.002978529426986914,103632135,3101,123
fluid balance,0.001015916017609211,0.00769053333137021,0.001015916017609211,0.0017384867274517774,1107357,2953,27
hemodynamics,0.006598240469208211,0.006532675669840466,0.006598240469208211,0.004301814044576514,43098874,1364,65
neurology,0.0,0.0,0.0,0.0,509201,422,14
infectiology,0.0,0.0,0.0,0.0,2868673,384,30
clinical score,0.0027624309392265192,0.00994475138121547,0.0027624309392265192,0.0043238049483545525,1386495,362,29
renal replacement therapy,0.005649717514124294,0.0025594932374593394,0.005649717514124294,0.002951085111383876,8918123,354,38
position,0.0,0.0,0.0,0.0,95269,291,3
nice data,0.03759398496240601,0.06979668838571414,0.03759398496240601,0.03607997943419576,50964,266,58
demographics,0.01762114537444934,0.10141948115516397,0.01762114537444934,0.027884010262864883,867704,227,11
lda,0.0,0.0,0.0,0.0,2157,98,7
sofa score,0.0,0.0,0.0,0.0,115864,63,20
admission information,0.0,0.0,0.0,0.0,16469,57,8
