concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.002,0.083,0.002,0.004,38107080,18840,1
medication,0.005,0.013,0.005,0.005,1363948,8876,748
laboratory value,0.017,0.069,0.017,0.019,3386498,5845,324
respiratory,0.013,0.038,0.013,0.014,104317033,3784,124
fluid balance,0.009,0.037,0.009,0.012,1155742,3081,27
hemodynamics,0.002,0.007,0.002,0.003,43198297,1658,65
neurology,0.002,0.006,0.002,0.003,586120,567,14
infectiology,0.004,0.005,0.004,0.005,2899072,448,30
clinical score,0.005,0.034,0.005,0.008,1423966,425,29
renal replacement therapy,0.006,0.004,0.006,0.004,8933963,360,38
position,0.000,0.000,0.000,0.000,103344,305,3
nice data,0.051,0.031,0.051,0.032,52663,275,59
demographics,0.033,0.084,0.033,0.026,876478,240,11
lda,0.020,0.092,0.020,0.033,2199,101,7
sofa score,0.000,0.000,0.000,0.000,119274,67,22
admission information,0.000,0.000,0.000,0.000,16470,58,9
