,overall,relevant,irrelevant
1,0.7444833453678413,0.7288498641127186,0.7609196063762445
2,0.8919263974533441,0.8719940223566536,0.9130277144843526
3,0.9819029601043281,0.9357422573554919,1.0337840531177862
4,1.0482811950308881,0.9843698066573724,1.1230697674035004
5,1.1015969913976713,1.016506791608355,1.205714395502674
6,1.14384189466212,1.0328264564347305,1.2852598500481285
7,1.1883389112139204,1.0548696095310195,1.3631819279702064
8,1.2319078302854807,1.063805453573813,1.4590723389291105
9,1.2970485783865089,1.074239644160077,1.6072204870772586
10,1.323799231627863,1.0886581468752765,1.652675032531804
