concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.003,0.089,0.003,0.006,39635000,21586,1
medication,0.006,0.013,0.006,0.006,1400478,8949,748
laboratory value,0.025,0.096,0.025,0.026,3390597,5971,324
respiratory,0.025,0.046,0.025,0.029,106079759,4457,124
fluid balance,0.015,0.043,0.015,0.019,1188630,3204,27
hemodynamics,0.015,0.095,0.015,0.014,43493713,2281,65
neurology,0.020,0.022,0.020,0.020,619274,602,14
infectiology,0.006,0.012,0.006,0.006,2935305,480,30
clinical score,0.013,0.031,0.013,0.016,1590848,456,30
renal replacement therapy,0.021,0.013,0.021,0.015,8967458,376,40
position,0.003,0.007,0.003,0.004,120097,315,3
nice data,0.018,0.010,0.018,0.012,52752,276,59
demographics,0.028,0.202,0.028,0.049,880668,253,11
lda,0.049,0.050,0.049,0.035,2204,102,7
sofa score,0.013,0.007,0.013,0.009,125049,76,27
admission information,0.000,0.000,0.000,0.000,16471,59,9
