concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.011,0.121,0.011,0.021,41054134,24860,1
medication,0.010,0.021,0.010,0.010,1402372,8961,748
laboratory value,0.059,0.149,0.059,0.063,3401524,6094,324
respiratory,0.064,0.081,0.064,0.065,106240456,5075,124
fluid balance,0.056,0.071,0.056,0.051,1195445,3245,27
hemodynamics,0.017,0.019,0.017,0.014,43686977,2667,65
neurology,0.024,0.017,0.024,0.019,637882,655,14
infectiology,0.044,0.030,0.044,0.033,2954020,499,30
clinical score,0.027,0.024,0.027,0.020,1595459,489,30
renal replacement therapy,0.049,0.017,0.049,0.024,9016906,385,40
position,0.019,0.010,0.019,0.012,123165,319,4
nice data,0.043,0.026,0.043,0.022,54042,277,59
demographics,0.071,0.053,0.071,0.058,886113,266,11
lda,0.049,0.012,0.049,0.020,2204,102,7
sofa score,0.088,0.025,0.088,0.030,130209,80,27
admission information,0.000,0.000,0.000,0.000,16558,60,9
