,zoverall,relevant,irrelevant
1,0.737485002712713,0.6457181851904739,0.8339640491958373
2,0.8348246096769343,0.7622783326540308,0.9104459886951985
3,0.8644999878038074,0.7996260497494828,0.93111763323119
4,0.8766017122035931,0.8165907926506477,0.9369435721036468
5,0.8844993962135438,0.8272020103012321,0.9410835017248432
6,0.8897137628044919,0.8349028126154651,0.9427204499855857
7,0.8923495866949848,0.83879169006194,0.9434909649464178
8,0.8948103955492646,0.8422385061603161,0.9444621754909894
9,0.8970131796178855,0.8439527933409495,0.9474061660702195
10,0.8984781256209131,0.8461749143637957,0.947722721942331
