concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.001,0.080,0.001,0.002,36948290,16929,1
medication,0.002,0.005,0.002,0.002,1342176,8758,747
laboratory value,0.022,0.045,0.022,0.024,3337866,5657,324
respiratory,0.004,0.007,0.004,0.003,103632135,3101,123
fluid balance,0.001,0.008,0.001,0.002,1107357,2953,27
hemodynamics,0.007,0.007,0.007,0.004,43098874,1364,65
neurology,0.000,0.000,0.000,0.000,509201,422,14
infectiology,0.000,0.000,0.000,0.000,2868673,384,30
clinical score,0.003,0.010,0.003,0.004,1386495,362,29
renal replacement therapy,0.006,0.003,0.006,0.003,8918123,354,38
position,0.000,0.000,0.000,0.000,95269,291,3
nice data,0.038,0.070,0.038,0.036,50964,266,58
demographics,0.018,0.101,0.018,0.028,867704,227,11
lda,0.000,0.000,0.000,0.000,2157,98,7
sofa score,0.000,0.000,0.000,0.000,115864,63,20
admission information,0.000,0.000,0.000,0.000,16469,57,8
