concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.134,0.283,0.134,0.153,3229677,1438,202
unmapped,0.095,0.097,0.095,0.096,29371763,1353,1
respiratory,0.174,0.259,0.174,0.177,92254993,930,105
hemodynamics,0.129,0.225,0.129,0.135,40161244,380,54
fluid balance,0.181,0.300,0.181,0.187,1120330,354,20
medication,0.146,0.233,0.146,0.153,355018,233,83
renal replacement therapy,0.195,0.350,0.195,0.227,6647480,221,26
infectiology,0.224,0.257,0.224,0.210,2830829,116,14
clinical score,0.126,0.097,0.126,0.089,1401845,87,14
demographics,0.266,0.185,0.266,0.207,878609,79,7
sofa score,0.333,0.583,0.333,0.339,30172,36,13
neurology,0.312,0.336,0.312,0.314,74227,32,8
nice data,0.000,0.000,0.000,0.000,2580,2,2
