concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.489,0.621,0.489,0.511,3229677,1438,202
unmapped,0.833,0.466,0.833,0.598,29654188,1428,1
respiratory,0.488,0.681,0.488,0.540,92355335,937,105
hemodynamics,0.595,0.690,0.595,0.625,40386866,444,54
fluid balance,0.496,0.617,0.496,0.501,1120589,355,20
medication,0.786,0.786,0.786,0.769,355165,234,83
renal replacement therapy,0.464,0.683,0.464,0.538,6647660,222,27
infectiology,0.552,0.735,0.552,0.596,2830829,116,14
clinical score,0.716,0.849,0.716,0.754,1403624,88,14
demographics,0.506,0.658,0.506,0.548,878609,79,7
sofa score,0.528,0.593,0.528,0.540,30172,36,13
neurology,0.531,0.560,0.531,0.519,74227,32,8
nice data,0.000,0.000,0.000,0.000,2580,2,2
