concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.02865329512893983,0.08301522819704465,0.02865329512893983,0.028702748559416517,2250039,1396,200
unmapped,0.007135575942915392,0.0472972972972973,0.007135575942915392,0.012400354295837024,27344802,981,1
respiratory,0.04152249134948097,0.07144617977637337,0.04152249134948097,0.0450779199839047,90335822,867,104
hemodynamics,0.02865329512893983,0.029131188396382186,0.02865329512893983,0.027481693870594535,40038540,349,54
fluid balance,0.012345679012345678,0.03173133450911229,0.012345679012345678,0.016892746344969387,1071311,324,19
renal replacement therapy,0.018957345971563982,0.029211546747091772,0.018957345971563982,0.020469419995486345,6567641,211,26
medication,0.010582010582010581,0.021164021164021163,0.010582010582010581,0.014109347442680775,324144,189,74
infectiology,0.0,0.0,0.0,0.0,2788149,92,14
clinical score,0.0,0.0,0.0,0.0,1231526,68,14
demographics,0.05084745762711865,0.00847457627118644,0.05084745762711865,0.014527845036319612,867138,59,7
sofa score,0.0,0.0,0.0,0.0,25012,32,12
neurology,0.09523809523809523,0.05612244897959184,0.09523809523809523,0.06938775510204083,54979,21,6
nice data,0.0,0.0,0.0,0.0,1290,1,1
