,zoverall,relevant,irrelevant
1,0.6061726113472556,0.5247301029374843,0.8333333333333334
2,0.7493012941071873,0.6846584550357443,0.9279379157427938
3,0.7913980356574807,0.7333675314264816,0.9490527806076587
4,0.8149274474221866,0.7613531230030957,0.9561883565505741
5,0.8296577871703453,0.7786856729443412,0.9599150646251082
6,0.8389342250182118,0.789968716142278,0.9599150646251082
7,0.847735438978758,0.7998624501107646,0.9634486335297019
8,0.8526254145288803,0.8049385922427443,0.967456649561766
9,0.8597383852401773,0.8120057300519317,0.9747916128869494
10,0.8628439753022891,0.8156754548225739,0.9747916128869494
