concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.13421418636995827,0.28295336314757213,0.13421418636995827,0.15323598926832005,3229677,1438,202
unmapped,0.09460458240946046,0.09748667174409749,0.09460458240946046,0.09602400600150038,29371763,1353,1
respiratory,0.17419354838709677,0.2594011777508893,0.17419354838709677,0.17714591510425073,92254993,930,105
hemodynamics,0.12894736842105264,0.22485178305000036,0.12894736842105264,0.13489352050509848,40161244,380,54
fluid balance,0.1807909604519774,0.29952795123401726,0.1807909604519774,0.18662468550455458,1120330,354,20
medication,0.1459227467811159,0.23273102672244303,0.1459227467811159,0.15326294412607128,355018,233,83
renal replacement therapy,0.19457013574660634,0.3495526676322524,0.19457013574660634,0.2265359577953281,6647480,221,26
infectiology,0.22413793103448276,0.25694425514515473,0.22413793103448276,0.20997536945812806,2830829,116,14
clinical score,0.12643678160919541,0.09682329165087786,0.12643678160919541,0.08928190505049134,1401845,87,14
demographics,0.26582278481012656,0.18523339020938323,0.26582278481012656,0.20694450425190503,878609,79,7
sofa score,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.3388227513227513,30172,36,13
neurology,0.3125,0.3359375,0.3125,0.31386408730158727,74227,32,8
nice data,0.0,0.0,0.0,0.0,2580,2,2
