concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.001,0.091,0.001,0.002,54582738,23535,1
medication,0.001,0.001,0.001,0.001,1942653,11669,842
laboratory value,0.012,0.022,0.012,0.010,5538945,8198,363
respiratory,0.011,0.051,0.011,0.015,113767793,4245,135
fluid balance,0.010,0.011,0.010,0.009,2891022,3840,31
hemodynamics,0.006,0.012,0.006,0.005,45638813,1680,66
infectiology,0.005,0.004,0.005,0.004,3214461,605,31
clinical score,0.004,0.002,0.004,0.003,1718386,500,31
neurology,0.002,0.009,0.002,0.003,674879,468,14
renal replacement therapy,0.011,0.004,0.011,0.005,9061215,451,46
position,0.003,0.000,0.003,0.000,216806,328,4
nice data,0.030,0.025,0.030,0.025,59768,305,60
demographics,0.004,0.003,0.004,0.003,886511,261,11
sofa score,0.015,0.001,0.015,0.003,579771,136,27
lda,0.000,0.000,0.000,0.000,3940,133,8
admission information,0.000,0.000,0.000,0.000,16982,64,9
