concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.039,0.000,0.000,45481293,17944,1
medication,0.000,0.000,0.000,0.000,1811846,11349,840
laboratory value,0.007,0.012,0.007,0.006,5348644,6984,362
fluid balance,0.001,0.001,0.001,0.001,2365816,3294,30
respiratory,0.002,0.001,0.002,0.001,108155197,2828,135
hemodynamics,0.002,0.021,0.002,0.003,43337614,1247,63
infectiology,0.002,0.004,0.002,0.003,3126270,476,30
renal replacement therapy,0.002,0.000,0.002,0.000,8645485,427,45
clinical score,0.000,0.000,0.000,0.000,1593714,357,30
nice data,0.010,0.011,0.010,0.006,58055,300,59
position,0.000,0.000,0.000,0.000,120421,247,3
neurology,0.000,0.000,0.000,0.000,477901,243,13
demographics,0.000,0.000,0.000,0.000,860739,181,11
lda,0.000,0.000,0.000,0.000,3890,130,8
sofa score,0.000,0.000,0.000,0.000,571912,125,27
admission information,0.018,0.008,0.018,0.011,16802,57,9
