concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.001,0.101,0.001,0.001,52160120,21189,1
medication,0.001,0.002,0.001,0.001,1924971,11599,842
laboratory value,0.007,0.012,0.007,0.006,5499380,7801,363
fluid balance,0.002,0.001,0.002,0.001,2800745,3715,30
respiratory,0.006,0.014,0.006,0.004,110240615,3577,135
hemodynamics,0.002,0.001,0.002,0.001,43961151,1498,66
infectiology,0.005,0.002,0.005,0.003,3192554,558,30
clinical score,0.000,0.000,0.000,0.000,1693717,450,30
renal replacement therapy,0.004,0.005,0.004,0.005,9056233,445,46
neurology,0.000,0.000,0.000,0.000,622423,374,14
nice data,0.003,0.006,0.003,0.004,59523,304,60
position,0.000,0.000,0.000,0.000,131970,298,4
demographics,0.004,0.006,0.004,0.005,877831,235,11
sofa score,0.007,0.002,0.007,0.003,578272,134,27
lda,0.000,0.000,0.000,0.000,3927,132,8
admission information,0.000,0.000,0.000,0.000,16981,63,9
