concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.003,0.069,0.003,0.005,61106431,29597,1
medication,0.005,0.003,0.005,0.003,2009173,11735,842
laboratory value,0.029,0.035,0.029,0.024,5620031,8838,364
respiratory,0.029,0.036,0.029,0.028,116067102,5731,135
fluid balance,0.030,0.017,0.030,0.018,2937330,3985,31
hemodynamics,0.009,0.004,0.009,0.005,46034489,2325,66
neurology,0.003,0.004,0.003,0.003,853207,720,14
infectiology,0.021,0.015,0.021,0.014,3292052,708,31
clinical score,0.034,0.019,0.034,0.019,1780683,594,31
renal replacement therapy,0.030,0.016,0.030,0.018,9106736,468,46
position,0.017,0.002,0.017,0.003,225802,350,4
demographics,0.026,0.017,0.026,0.018,897193,307,11
nice data,0.039,0.012,0.039,0.017,59768,305,60
sofa score,0.014,0.006,0.014,0.009,583056,139,27
lda,0.029,0.005,0.029,0.008,4022,136,8
admission information,0.030,0.004,0.030,0.008,17067,66,9
