concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.001,0.058,0.001,0.003,58258943,26175,1
medication,0.002,0.002,0.002,0.001,1982596,11713,842
laboratory value,0.015,0.023,0.015,0.013,5600990,8568,364
respiratory,0.034,0.060,0.034,0.041,115716763,4901,135
fluid balance,0.013,0.005,0.013,0.006,2909866,3936,31
hemodynamics,0.007,0.005,0.007,0.005,45893703,1927,66
infectiology,0.011,0.022,0.011,0.011,3266001,662,31
neurology,0.003,0.008,0.003,0.004,800878,630,14
clinical score,0.004,0.001,0.004,0.002,1759023,550,31
renal replacement therapy,0.011,0.005,0.011,0.006,9077846,463,46
position,0.009,0.001,0.009,0.001,218056,337,4
nice data,0.023,0.008,0.023,0.011,59768,305,60
demographics,0.017,0.004,0.017,0.006,887818,290,11
sofa score,0.014,0.003,0.014,0.005,582351,138,27
lda,0.000,0.000,0.000,0.000,4022,136,8
admission information,0.000,0.000,0.000,0.000,17064,65,9
