concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.033,0.000,0.000,49015019,19415,1
medication,0.001,0.000,0.001,0.000,1872303,11483,841
laboratory value,0.006,0.016,0.006,0.006,5476293,7406,363
fluid balance,0.001,0.001,0.001,0.001,2646440,3495,30
respiratory,0.007,0.020,0.007,0.005,109738740,3159,135
hemodynamics,0.000,0.000,0.000,0.000,43502895,1367,65
infectiology,0.008,0.009,0.008,0.008,3167977,514,30
renal replacement therapy,0.000,0.000,0.000,0.000,9023438,433,46
clinical score,0.000,0.000,0.000,0.000,1649927,397,30
nice data,0.003,0.002,0.003,0.002,58144,302,60
neurology,0.000,0.000,0.000,0.000,539276,299,14
position,0.000,0.000,0.000,0.000,128127,269,4
demographics,0.005,0.001,0.005,0.002,871349,210,11
lda,0.008,0.013,0.008,0.009,3927,132,8
sofa score,0.000,0.000,0.000,0.000,576152,131,27
admission information,0.017,0.002,0.017,0.003,16837,60,9
