,overall,relevant,irrelevant
1,0.7734701528233522,0.7462210059932664,0.8012597158938622
2,0.888926661624407,0.8580039104767897,0.9206351485528885
3,0.9385499227745707,0.890580448534839,0.9896950816225569
4,0.9795198385196794,0.9088396849679755,1.0586011970403002
5,1.0136965538958034,0.925237577407844,1.116293504732608
6,1.0603626826811252,0.9400098616346888,1.2075215749080466
7,1.104747368006319,0.9457435377038195,1.3087873976928568
8,1.121554069515593,0.9522054397969557,1.3413960933450306
9,1.1394527670026315,0.9567232679120892,1.3803571323060695
10,1.1751010984822616,0.9600628339671478,1.4680764305516836
