concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.942,0.801,0.942,0.866,63776652,38069,1
medication,0.889,0.883,0.889,0.881,2023683,11750,842
laboratory value,0.508,0.612,0.508,0.532,5651410,9137,364
respiratory,0.681,0.715,0.681,0.682,116269993,6530,135
fluid balance,0.518,0.650,0.518,0.566,2939549,4020,31
hemodynamics,0.806,0.868,0.806,0.829,46587135,3452,66
neurology,0.570,0.766,0.570,0.641,889996,781,14
infectiology,0.566,0.703,0.566,0.612,3297766,721,31
clinical score,0.582,0.731,0.582,0.639,1812981,632,31
renal replacement therapy,0.397,0.614,0.397,0.465,9136412,473,46
position,0.646,0.881,0.646,0.746,242815,356,4
demographics,0.570,0.733,0.570,0.629,907928,321,11
nice data,0.230,0.510,0.230,0.284,59768,305,60
sofa score,0.259,0.313,0.259,0.271,588216,143,27
lda,0.463,0.486,0.463,0.475,4022,136,8
admission information,0.149,0.716,0.149,0.212,17117,67,9
