concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.021,0.074,0.021,0.024,3211952,1426,201
unmapped,0.002,0.015,0.002,0.003,27310476,1072,1
respiratory,0.019,0.079,0.019,0.021,90289831,863,104
hemodynamics,0.000,0.000,0.000,0.000,40061759,362,54
fluid balance,0.015,0.050,0.015,0.018,1078555,332,19
medication,0.000,0.000,0.000,0.000,353742,232,82
renal replacement therapy,0.010,0.013,0.010,0.011,6566011,208,26
infectiology,0.000,0.000,0.000,0.000,2797372,104,14
clinical score,0.012,0.065,0.012,0.020,1239382,84,14
demographics,0.048,0.009,0.048,0.015,868988,62,7
sofa score,0.000,0.000,0.000,0.000,23307,30,11
neurology,0.043,0.043,0.043,0.043,55461,23,8
nice data,0.000,0.000,0.000,0.000,1290,1,1
