concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.149,0.308,0.149,0.171,3229677,1438,202
unmapped,0.086,0.094,0.086,0.090,29496362,1406,1
respiratory,0.174,0.267,0.174,0.181,92286543,935,105
hemodynamics,0.110,0.209,0.110,0.119,40329205,437,54
fluid balance,0.175,0.273,0.175,0.179,1120589,355,20
medication,0.132,0.213,0.132,0.141,355165,234,83
renal replacement therapy,0.189,0.350,0.189,0.226,6647660,222,27
infectiology,0.207,0.296,0.207,0.223,2830829,116,14
clinical score,0.126,0.102,0.126,0.093,1401845,87,14
demographics,0.266,0.185,0.266,0.207,878609,79,7
sofa score,0.333,0.583,0.333,0.339,30172,36,13
neurology,0.250,0.294,0.250,0.264,74227,32,8
nice data,0.000,0.000,0.000,0.000,2580,2,2
