concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.004,0.027,0.004,0.005,1942638,1308,195
respiratory,0.005,0.035,0.005,0.008,87547462,746,97
unmapped,0.003,0.048,0.003,0.005,24608313,717,1
hemodynamics,0.000,0.000,0.000,0.000,39599928,311,53
fluid balance,0.009,0.164,0.009,0.016,788138,229,16
medication,0.000,0.000,0.000,0.000,302939,197,78
renal replacement therapy,0.000,0.000,0.000,0.000,6538959,195,26
infectiology,0.000,0.000,0.000,0.000,2594517,82,14
clinical score,0.018,0.218,0.018,0.034,1024403,55,13
demographics,0.000,0.000,0.000,0.000,857892,48,7
sofa score,0.000,0.000,0.000,0.000,17108,23,8
neurology,0.000,0.000,0.000,0.000,21231,14,5
