concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.472,0.607,0.472,0.494,3229677,1438,202
unmapped,0.831,0.468,0.831,0.599,29654188,1428,1
respiratory,0.485,0.679,0.485,0.537,92355335,937,105
hemodynamics,0.595,0.693,0.595,0.626,40386866,444,54
fluid balance,0.490,0.617,0.490,0.498,1120589,355,20
medication,0.778,0.785,0.778,0.765,355165,234,83
renal replacement therapy,0.464,0.686,0.464,0.539,6647660,222,27
infectiology,0.552,0.739,0.552,0.599,2830829,116,14
clinical score,0.716,0.849,0.716,0.754,1403624,88,14
demographics,0.506,0.658,0.506,0.548,878609,79,7
sofa score,0.528,0.593,0.528,0.540,30172,36,13
neurology,0.531,0.565,0.531,0.524,74227,32,8
nice data,0.000,0.000,0.000,0.000,2580,2,2
