concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.0071090047393364926,0.022088693297224102,0.0071090047393364926,0.00886817237528138,1893059,1266,192
respiratory,0.0013986013986013986,0.002797202797202797,0.0013986013986013986,0.0018648018648018648,84050063,715,97
unmapped,0.0,0.0,0.0,0.0,23995197,656,1
hemodynamics,0.0,0.0,0.0,0.0,38718082,279,53
fluid balance,0.00510204081632653,0.00030012004801920766,0.00510204081632653,0.0005668934240362812,679105,196,16
medication,0.0,0.0,0.0,0.0,290453,194,78
renal replacement therapy,0.0,0.0,0.0,0.0,5689878,185,26
infectiology,0.01282051282051282,0.19230769230769232,0.01282051282051282,0.02403846153846154,2592589,78,14
clinical score,0.0,0.0,0.0,0.0,1024403,55,13
demographics,0.0,0.0,0.0,0.0,853946,44,7
sofa score,0.0,0.0,0.0,0.0,15863,20,7
neurology,0.0,0.0,0.0,0.0,19769,12,4
