concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.010,0.043,0.010,0.011,2209543,1385,198
unmapped,0.000,0.000,0.000,0.000,26443583,848,1
respiratory,0.000,0.000,0.000,0.000,89301754,793,102
hemodynamics,0.015,0.011,0.015,0.011,39929140,331,54
fluid balance,0.025,0.089,0.025,0.035,977830,284,18
medication,0.004,0.002,0.004,0.003,350385,224,80
renal replacement therapy,0.010,0.021,0.010,0.013,6549546,202,26
infectiology,0.000,0.000,0.000,0.000,2792827,95,14
clinical score,0.000,0.000,0.000,0.000,1198331,70,14
demographics,0.000,0.000,0.000,0.000,858166,50,7
sofa score,0.000,0.000,0.000,0.000,20772,26,9
neurology,0.000,0.000,0.000,0.000,39419,18,6
