hospital_name,ehr_name,0
0,MV,0.7815333882934872
2,MV,0.757557063541024
3,MV,0.5553319919517102
4,HIX,0.8544776119402985
5,HIX,0.7558139534883721
6,HIX,0.7718518518518519
8,EPIC,0.8807049254405784
9,HIX,0.8345233095338094
10,MV,0.6949685534591195
11,MV,0.7304347826086957
12,HIX,0.8051643192488263
13,MV,0.6707920792079208
14,HIX,0.8056338028169014
15,MV,0.6871345029239766
16,HIX,0.7569775357385977
17,MV,0.789308176100629
18,HIX,0.7790110998990918
20,EPIC,0.8736362380886618
21,HIX,0.7726510067114094
22,HIX,0.6219602063375093
23,EPIC,0.8341566690190544
24,EPIC,0.7124345188861317
25,MV,0.6659192825112108
26,HIX,0.6822916666666666
28,HIX,0.7103825136612022
29,MV,0.7422157856625634
