concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.9198299067608161,0.7510352296617188,0.9198299067608161,0.826906553036281,40840247,25633,1
laboratory value,0.2846580406654344,0.5409017149082881,0.2846580406654344,0.3302379657540406,2765956,5410,322
medication,0.7350318471337579,0.7138288689365028,0.7350318471337579,0.7101038760020307,821786,4710,695
respiratory,0.5819022457067371,0.7137306432866016,0.5819022457067371,0.5987934803987627,97201806,4542,123
fluid balance,0.3571720474049857,0.5433408690787509,0.3571720474049857,0.41024338841015456,879827,2447,28
hemodynamics,0.7284798534798534,0.8145359411085227,0.7284798534798534,0.7585069372874478,38103931,2184,63
infectiology,0.40425531914893614,0.5314658745509809,0.40425531914893614,0.4192875096716484,1925380,282,28
neurology,0.36200716845878134,0.5382953425331667,0.36200716845878134,0.38339183060013865,532647,279,13
nice data,0.10074626865671642,0.222636815920398,0.10074626865671642,0.12604584470256114,53227,268,59
clinical score,0.41353383458646614,0.48983227700248055,0.41353383458646614,0.3907008204164884,1519773,266,28
renal replacement therapy,0.15725806451612903,0.345981303642594,0.15725806451612903,0.19985978724855255,6993183,248,39
position,0.3525641025641026,0.6828140214216164,0.3525641025641026,0.4650198938992043,72969,156,4
demographics,0.2808219178082192,0.4670706006322445,0.2808219178082192,0.2935909517799636,30599,146,11
admission information,0.06557377049180328,0.05958660014255168,0.06557377049180328,0.060591449694631955,16559,61,9
sofa score,0.425531914893617,0.31072013093289685,0.425531914893617,0.325531914893617,109769,47,27
lda,0.19047619047619047,0.0636331569664903,0.19047619047619047,0.08974048023284016,920,42,7
