concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.002,0.233,0.002,0.003,32835646,11900,1
medication,0.000,0.000,0.000,0.000,713001,4247,684
laboratory value,0.003,0.018,0.003,0.004,1551704,4185,315
fluid balance,0.002,0.042,0.002,0.004,586466,1804,24
respiratory,0.003,0.012,0.003,0.004,92478357,1442,115
hemodynamics,0.000,0.000,0.000,0.000,35874807,760,62
nice data,0.005,0.026,0.005,0.008,42459,222,52
renal replacement therapy,0.005,0.012,0.005,0.007,6885440,204,36
infectiology,0.000,0.000,0.000,0.000,1688799,180,26
neurology,0.000,0.000,0.000,0.000,347386,164,12
clinical score,0.014,0.022,0.014,0.017,1109625,143,28
position,0.000,0.000,0.000,0.000,42828,119,3
demographics,0.000,0.000,0.000,0.000,12152,80,11
admission information,0.000,0.000,0.000,0.000,16464,56,8
lda,0.033,0.033,0.033,0.033,569,30,7
sofa score,0.000,0.000,0.000,0.000,82450,13,12
