concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.003,0.133,0.003,0.006,38453934,19328,1
laboratory value,0.028,0.114,0.028,0.030,2741398,5184,322
medication,0.010,0.021,0.010,0.010,819930,4701,695
respiratory,0.031,0.051,0.031,0.033,96871033,3588,122
fluid balance,0.019,0.055,0.019,0.023,860546,2400,27
hemodynamics,0.018,0.126,0.018,0.019,38017314,1678,63
infectiology,0.011,0.013,0.011,0.009,1919625,278,28
nice data,0.019,0.012,0.019,0.013,51937,267,59
neurology,0.045,0.051,0.045,0.045,518691,266,13
clinical score,0.025,0.051,0.025,0.028,1496358,240,28
renal replacement therapy,0.008,0.001,0.008,0.001,6942896,237,39
position,0.007,0.009,0.007,0.008,69901,152,3
demographics,0.053,0.248,0.053,0.087,26913,133,11
admission information,0.000,0.000,0.000,0.000,16471,59,9
lda,0.119,0.122,0.119,0.085,920,42,7
sofa score,0.024,0.012,0.024,0.016,102029,41,27
