concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.012,0.163,0.012,0.022,39846555,22266,1
laboratory value,0.064,0.172,0.064,0.069,2751848,5295,322
medication,0.019,0.029,0.019,0.018,821786,4710,695
respiratory,0.073,0.085,0.073,0.071,97024769,4110,123
fluid balance,0.063,0.082,0.063,0.059,867359,2439,27
hemodynamics,0.023,0.032,0.023,0.019,38030897,1958,63
infectiology,0.078,0.059,0.078,0.057,1923502,281,28
neurology,0.058,0.046,0.058,0.047,527927,278,13
nice data,0.045,0.027,0.045,0.023,53227,268,59
clinical score,0.051,0.046,0.051,0.037,1499118,256,28
renal replacement therapy,0.065,0.013,0.065,0.022,6992344,246,39
position,0.038,0.012,0.038,0.018,72969,156,4
demographics,0.070,0.081,0.070,0.068,30382,143,11
admission information,0.000,0.000,0.000,0.000,16558,60,9
sofa score,0.156,0.046,0.156,0.056,107189,45,27
lda,0.119,0.030,0.119,0.048,920,42,7
