concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.105,0.000,0.000,30846719,11124,1
medication,0.002,0.026,0.002,0.003,690248,4086,678
laboratory value,0.004,0.013,0.004,0.005,1502792,3929,312
fluid balance,0.002,0.006,0.002,0.002,523765,1701,24
respiratory,0.003,0.006,0.003,0.003,88976571,1255,115
hemodynamics,0.000,0.000,0.000,0.000,35545158,634,61
nice data,0.000,0.000,0.000,0.000,40933,215,51
renal replacement therapy,0.000,0.000,0.000,0.000,6032520,191,36
infectiology,0.012,0.134,0.012,0.022,1686984,164,25
neurology,0.000,0.000,0.000,0.000,296712,147,12
clinical score,0.000,0.000,0.000,0.000,1102023,128,27
position,0.000,0.000,0.000,0.000,42555,117,2
demographics,0.000,0.000,0.000,0.000,8519,71,11
admission information,0.000,0.000,0.000,0.000,16463,55,8
lda,0.000,0.000,0.000,0.000,569,30,7
sofa score,0.000,0.000,0.000,0.000,79914,9,8
