concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.001,0.118,0.001,0.002,35858555,15019,1
laboratory value,0.025,0.056,0.025,0.029,2725291,4895,321
medication,0.003,0.008,0.003,0.004,806430,4610,694
respiratory,0.004,0.007,0.004,0.003,94617627,2396,121
fluid balance,0.001,0.007,0.001,0.002,783449,2193,27
hemodynamics,0.008,0.007,0.008,0.005,37934422,1064,63
nice data,0.039,0.072,0.039,0.039,50149,257,58
infectiology,0.000,0.000,0.000,0.000,1898971,238,28
neurology,0.000,0.000,0.000,0.000,450739,230,13
renal replacement therapy,0.009,0.004,0.009,0.005,6893561,215,37
clinical score,0.005,0.015,0.005,0.008,1307556,191,28
position,0.000,0.000,0.000,0.000,46743,141,3
demographics,0.037,0.270,0.037,0.041,14814,109,11
admission information,0.000,0.000,0.000,0.000,16469,57,8
lda,0.000,0.000,0.000,0.000,894,40,7
sofa score,0.000,0.000,0.000,0.000,92844,28,20
