concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.020,0.058,0.020,0.021,1357729,8912,748
laboratory value,0.081,0.195,0.081,0.074,3411808,6139,324
respiratory,0.079,0.095,0.079,0.077,106529119,5269,124
fluid balance,0.086,0.111,0.086,0.089,1208407,3257,28
hemodynamics,0.072,0.126,0.072,0.086,43761731,2604,65
neurology,0.052,0.224,0.052,0.059,634783,648,14
clinical score,0.044,0.071,0.044,0.048,1616112,497,30
infectiology,0.069,0.058,0.069,0.056,2942650,492,30
renal replacement therapy,0.052,0.109,0.052,0.051,9017745,387,40
position,0.013,0.008,0.013,0.010,123165,319,4
nice data,0.043,0.074,0.043,0.038,54042,277,59
demographics,0.093,0.123,0.093,0.091,886330,269,11
lda,0.108,0.075,0.108,0.086,2204,102,7
sofa score,0.122,0.025,0.122,0.037,132789,82,27
admission information,0.000,0.000,0.000,0.000,16559,61,9
