concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.004114258845656518,0.015477173876139698,0.004114258845656518,0.004723370644595331,1286502,8507,745
laboratory value,0.021609664794963415,0.11066631285322844,0.021609664794963415,0.02374115329375056,2453647,5877,324
respiratory,0.012462747222974803,0.034404500522905876,0.012462747222974803,0.0160696632551503,106323124,3691,124
fluid balance,0.017696267696267698,0.0712572691154136,0.017696267696267698,0.02547786917013297,1181074,3108,28
hemodynamics,0.006765899864682003,0.00629701947109024,0.006765899864682003,0.005779208745705875,43325976,1478,65
neurology,0.01639344262295082,0.19939104968034574,0.01639344262295082,0.027464567622895536,605839,549,14
infectiology,0.020785219399538105,0.04851084250622357,0.020785219399538105,0.02846658635625736,2896279,433,30
clinical score,0.005089058524173028,0.013548619159905679,0.005089058524173028,0.005488003164737317,1594872,393,30
renal replacement therapy,0.007792207792207792,0.08467532467532468,0.007792207792207792,0.011552669552669552,9016211,385,40
position,0.038709677419354833,0.005067748813536007,0.038709677419354833,0.008962195299956212,121401,310,4
nice data,0.02888086642599278,0.050684020520615616,0.02888086642599278,0.0327058621282448,54042,277,59
demographics,0.007662835249042145,0.013531095498308613,0.007662835249042145,0.007387242051488875,886082,261,11
lda,0.00980392156862745,0.000368295466334682,0.00980392156862745,0.0007099219085900552,2204,102,7
sofa score,0.0,0.0,0.0,0.0,129089,78,27
admission information,0.0,0.0,0.0,0.0,16559,61,9
