concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.001,0.002,0.001,0.001,1103283,7320,728
laboratory value,0.008,0.039,0.008,0.008,2401780,5515,324
fluid balance,0.002,0.008,0.002,0.003,1102635,2838,27
respiratory,0.003,0.016,0.003,0.005,104229397,2713,124
hemodynamics,0.006,0.005,0.006,0.004,43188576,1185,65
neurology,0.003,0.062,0.003,0.005,469951,380,14
renal replacement therapy,0.008,0.057,0.008,0.014,8986454,378,40
infectiology,0.003,0.001,0.003,0.002,2835066,340,30
clinical score,0.003,0.002,0.003,0.003,1524379,305,28
position,0.000,0.000,0.000,0.000,119047,290,3
nice data,0.018,0.021,0.018,0.019,53761,274,58
demographics,0.004,0.004,0.004,0.004,883128,236,11
lda,0.000,0.000,0.000,0.000,2154,100,7
sofa score,0.000,0.000,0.000,0.000,127384,76,26
admission information,0.000,0.000,0.000,0.000,16559,61,9
