concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.007,0.016,0.007,0.007,1332187,8793,747
laboratory value,0.033,0.147,0.033,0.032,2470880,6002,324
respiratory,0.033,0.065,0.033,0.038,106384754,4440,124
fluid balance,0.016,0.032,0.016,0.019,1193097,3176,28
hemodynamics,0.010,0.042,0.010,0.012,43495672,1855,65
neurology,0.014,0.044,0.014,0.021,617892,634,14
clinical score,0.015,0.012,0.015,0.013,1614109,470,30
infectiology,0.013,0.015,0.013,0.014,2898625,462,30
renal replacement therapy,0.005,0.004,0.005,0.004,9017012,386,40
position,0.119,0.018,0.119,0.031,123165,319,4
nice data,0.014,0.008,0.014,0.010,54042,277,59
demographics,0.030,0.031,0.030,0.024,886330,269,11
lda,0.049,0.041,0.049,0.042,2204,102,7
sofa score,0.012,0.012,0.012,0.012,132789,82,27
admission information,0.000,0.000,0.000,0.000,16559,61,9
