concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
medication,0.8756835174645687,0.8446871798031095,0.8756835174645687,0.8516359802999578,1402372,8961,748
laboratory value,0.48671283620550815,0.605898941540962,0.48671283620550815,0.471195240594357,3415632,6209,324
respiratory,0.7262011073405965,0.7591665704049804,0.7262011073405965,0.7219785564169308,106580673,5599,124
fluid balance,0.6766871165644172,0.6047383987121026,0.6766871165644172,0.6098625225098301,1208411,3260,28
hemodynamics,0.8302333446060196,0.8473108631894757,0.8302333446060196,0.8259463135824248,43958076,2957,65
neurology,0.8521341463414634,0.7776546943819794,0.8521341463414634,0.7945866678361639,642602,656,14
infectiology,0.746,0.7889432288404462,0.746,0.7383855720143535,2955898,500,30
clinical score,0.8296593186372746,0.8425253971462222,0.8296593186372746,0.8223114149210478,1616114,499,30
renal replacement therapy,0.5736434108527132,0.5599405529111608,0.5736434108527132,0.5462735214241775,9017745,387,40
position,0.786833855799373,0.5755543945199117,0.786833855799373,0.6648114931352992,123165,319,4
nice data,0.26353790613718414,0.2553418803418803,0.26353790613718414,0.2431396202498012,54042,277,59
demographics,0.7657992565055762,0.7918574063838306,0.7657992565055762,0.7550287370198889,886330,269,11
lda,0.7549019607843137,0.5702744372494604,0.7549019607843137,0.6343665412292863,2204,102,7
sofa score,0.8048780487804879,0.637181235166389,0.8048780487804879,0.675018625771542,132789,82,27
admission information,0.08196721311475409,0.16393442622950818,0.08196721311475409,0.10819672131147542,16559,61,9
