,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,potassium_unspecified,0.0,0.0,0.0,32,0.0,51285,laboratory value,relevant
1,temperature_source_text,0.0,0.0,0.0,37,0.0,18994,infectiology,relevant
2,tracheostomy_size,0.0,0.0,0.0,11,0.0,2475,respiratory,relevant
3,gcs_motor,0.0,0.0,0.0,32,0.0,54084,neurology,relevant
4,gcs_eye,0.0,0.0,0.0,30,0.0,52761,neurology,relevant
5,gcs_verbal,0.0,0.0,0.0,38,0.0,53300,neurology,relevant
6,crrt_mode,0.0,0.0,0.0,31,0.0,277617,renal replacement therapy,relevant
7,type_administered_o2,0.0,0.0,0.0,203,0.0,53582,respiratory,relevant
8,fio2_hiflow,0.0,0.0,0.0,2,0.0,2880,respiratory,relevant
9,o2_flow_high_flow_oxygen,0.0,0.0,0.0,45,0.0,156140,respiratory,relevant
10,restrictive_policy,0.0,0.0,0.0,28,0.0,11867,admission information,relevant
11,lactate_dehydrogenase_unspecified,0.0,0.0,0.0,48,0.0,17152,laboratory value,relevant
12,cam_icu_score,0.0,0.0,0.0,14,0.0,24017,clinical score,relevant
13,amylase_unspecified,0.0,0.0,0.0,19,0.0,1393,laboratory value,relevant
14,picco_pulse_pressure_variation,0.0,0.0,0.0,9,0.0,36817,hemodynamics,relevant
15,ultrafiltration_cvvh_measured,0.0,0.0,0.0,5,0.0,30929,renal replacement therapy,relevant
16,access_pressure_cvvh,0.0,0.0,0.0,27,0.0,518203,renal replacement therapy,relevant
17,return_pressure_cvvh,0.0,0.0,0.0,24,0.0,518871,renal replacement therapy,relevant
18,crrt_duration,0.0,0.0,0.0,1,0.0,498,renal replacement therapy,relevant
19,blood_flow_cvvh,0.0,0.0,0.0,29,0.0,579551,renal replacement therapy,relevant
20,effluent_pressure_cvvh,0.0,0.0,0.0,19,0.0,470347,renal replacement therapy,relevant
21,fluid_out_cvvh_dialysis_cumulative,0.0,0.0,0.0,3,0.0,95884,fluid balance,relevant
22,ultrafiltration_cvvh_set,0.0,0.0,0.0,22,0.0,514474,renal replacement therapy,relevant
23,citrate_dosage_cvvh,0.0,0.0,0.0,13,0.0,447450,renal replacement therapy,relevant
24,pain_score_text,0.0,0.0,0.0,28,0.0,45775,clinical score,relevant
25,substitution_volume_cvvh,0.0,0.0,0.0,6,0.0,117705,renal replacement therapy,relevant
26,extravascular_lung_water_index,0.0,0.0,0.0,15,0.0,2118,hemodynamics,relevant
27,global_end_diastolic_volume_index,0.0,0.0,0.0,17,0.0,12627,hemodynamics,relevant
28,procalcitonin_unspecified,0.0,0.0,0.0,24,0.0,12589,laboratory value,relevant
29,ntpro_bnp_unspecified,0.0,0.0,0.0,18,0.0,429,laboratory value,relevant
30,troponin_i_hs,0.0,0.0,0.0,8,0.0,1600,laboratory value,relevant
31,glucose_measured_unspecified,0.0,0.0,0.0,511,0.0,93214,laboratory value,relevant
32,vancomycin_level,0.0,0.0,0.0,14,0.0,677,laboratory value,relevant
33,nice_adm_source,0.0,0.0,0.0,14,0.0,7036,nice data,relevant
34,pain_score_bps,0.0,0.0,0.0,8,0.0,6377,clinical score,relevant
35,fluid_in_flush,0.0,0.0,0.0,139,0.0,5563,fluid balance,relevant
36,avpu_score_text,0.0,0.0,0.0,11,0.0,5571,clinical score,relevant
37,end_tidal_co2_measured,0.0,0.0,0.0,43,0.0,3747334,respiratory,relevant
38,respiratory_rate_measured,0.0,0.0,0.0,28,0.0,2748642,respiratory,relevant
39,nice_covid19Status,0.0,0.0,0.0,5,0.0,2056,nice data,relevant
40,ph_arterial,0.0,0.0,0.0,32,0.0,67515,laboratory value,relevant
41,po2_unspecified,0.0,0.0,0.0,12,0.0,20654,laboratory value,relevant
42,pco2_unspecified,0.0,0.0,0.0,17,0.0,22342,laboratory value,relevant
43,base_excess_unspecified,0.0,0.0,0.0,22,0.0,62014,laboratory value,relevant
44,bicarbonate_actual_unspecified,0.0,0.0,0.0,29,0.0,64155,laboratory value,relevant
45,sodium_unspecified,0.0,0.0,0.0,40,0.0,51701,laboratory value,relevant
46,fio2_set,0.0,0.0,0.0,77,0.0,4400616,respiratory,relevant
47,peak_inspiratory_pressure,0.0,0.0,0.0,37,0.0,4565785,respiratory,relevant
48,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,1478863,respiratory,relevant
49,height_measured,0.0,0.0,0.0,40,0.0,7705,demographics,relevant
50,p01_measured,0.0,0.0,0.0,19,0.0,1960995,respiratory,relevant
51,arterial_bp_diastolic,0.0,0.0,0.0,10,0.0,4031569,hemodynamics,relevant
52,arterial_bp_mean,0.0,0.0,0.0,14,0.0,4080765,hemodynamics,relevant
53,arterial_bp_systolic,0.0,0.0,0.0,10,0.0,4032628,hemodynamics,relevant
54,cardiac_output_unspecified,0.0,0.0,0.0,17,0.0,7686,hemodynamics,relevant
55,central_venous_pressure,0.0,0.0,0.0,9,0.0,1391028,hemodynamics,relevant
56,heart_rate_unspecified,0.0,0.0,0.0,116,0.0,8508400,hemodynamics,relevant
57,nibp_diastolic,0.0,0.0,0.0,9,0.0,29407,hemodynamics,relevant
58,nibp_mean,0.0,0.0,0.0,17,0.0,75938,hemodynamics,relevant
59,nibp_systolic,0.0,0.0,0.0,10,0.0,38036,hemodynamics,relevant
60,pulmonary_artery_pressure_diastolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
61,pulmonary_artery_pressure_systolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
62,pulmonary_artery_pressure_mean,0.0,0.0,0.0,4,0.0,17120,hemodynamics,relevant
63,pulmonary_wedge_pressure,0.0,0.0,0.0,4,0.0,65,hemodynamics,relevant
64,heart_rhythm_text,0.0,0.0,0.0,283,0.0,142710,hemodynamics,relevant
65,fluid_in_oral,0.005434782608695652,0.0009057971014492754,0.0015527950310559007,1104,0.0009057971014492754,15173,fluid balance,relevant
66,fluid_out_emesis_retention,0.0,0.0,0.0,90,0.0,93654,fluid balance,relevant
67,systemic_vascular_resistance_index,0.0,0.0,0.0,16,0.0,71951,hemodynamics,relevant
68,systemic_vascular_resistance,0.0,0.0,0.0,14,0.0,14689,hemodynamics,relevant
69,fluid_out_cvvh_dialysis,0.1,0.018518518518518517,0.03125,54,0.018518518518518517,29097,fluid balance,relevant
70,stroke_volume_variation,0.0,0.0,0.0,17,0.0,77822,hemodynamics,relevant
71,fluid_out_defecation,0.0,0.0,0.0,72,0.0,33705,fluid balance,relevant
72,fluid_in_tube,0.75,0.011029411764705883,0.02173913043478261,272,0.011029411764705883,55397,fluid balance,relevant
73,temperature_bladder,0.0,0.0,0.0,11,0.0,787636,infectiology,relevant
74,temperature_unspecified,0.0,0.0,0.0,53,0.0,983671,infectiology,relevant
75,temperature_core,0.0,0.0,0.0,4,0.0,10653,infectiology,relevant
76,stroke_volume_index,0.0,0.0,0.0,19,0.0,89791,hemodynamics,relevant
77,capillary_refill_text,0.0,0.0,0.0,16,0.0,1900,hemodynamics,relevant
78,inspiratory_pressure_above_peep,0.0,0.0,0.0,58,0.0,3347097,respiratory,relevant
79,respiratory_rate_measured_spontaneous,0.0,0.0,0.0,10,0.0,4254004,respiratory,relevant
80,respiratory_rate_measured_ventilator,0.0,0.0,0.0,27,0.0,3792789,respiratory,relevant
81,respiratory_rate_set,0.0,0.0,0.0,39,0.0,2605447,respiratory,relevant
82,peep_unspecified,0.0,0.0,0.0,4,0.0,803539,respiratory,relevant
83,vent_mode_manual,0.0,0.0,0.0,5,0.0,118,respiratory,relevant
84,fluid_out_other,0.0,0.0,0.0,79,0.0,2397,fluid balance,relevant
85,vent_mode,0.0,0.0,0.0,94,0.0,6731934,respiratory,relevant
86,pupil_reflex_left,0.0,0.0,0.0,19,0.0,30908,neurology,relevant
87,pupil_reflex_right,0.0,0.0,0.0,18,0.0,33470,neurology,relevant
88,lung_compliance_unspecified,0.0,0.0,0.0,10,0.0,911064,respiratory,relevant
89,tidal_volume_expiratory_unspecified,0.0,0.0,0.0,1,0.0,19097,respiratory,relevant
90,inspiratory_time_perc,0.0,0.0,0.0,4,0.0,86270,respiratory,relevant
91,tidal_volume_inspiratory_unspecified,0.0,0.0,0.0,2,0.0,22013,respiratory,relevant
92,fluid_out_drain,0.0,0.0,0.0,82,0.0,8895,fluid balance,relevant
93,o2_flow_unspecified,0.0,0.0,0.0,79,0.0,35639,respiratory,relevant
94,rass_score,0.0,0.0,0.0,48,0.0,96405,neurology,relevant
95,pain_score_vas,0.0,0.0,0.0,12,0.0,19047,clinical score,relevant
96,plateau_pressure,0.0,0.0,0.0,27,0.0,966352,respiratory,relevant
97,saturation_o2_peripheral,0.0,0.0,0.0,205,0.0,2008990,respiratory,relevant
