concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,63776652,38069,1
medication,0.923,0.835,0.923,0.871,2023683,11750,842
laboratory value,0.668,0.409,0.668,0.475,5651410,9137,364
respiratory,0.761,0.567,0.761,0.626,116269993,6530,135
fluid balance,0.788,0.185,0.788,0.288,2939549,4020,31
hemodynamics,0.920,0.537,0.920,0.659,46587135,3452,66
neurology,0.926,0.361,0.926,0.510,889996,781,14
infectiology,0.757,0.572,0.757,0.622,3297766,721,31
clinical score,0.856,0.344,0.856,0.463,1812981,632,31
renal replacement therapy,0.691,0.415,0.691,0.485,9136412,473,46
position,0.935,0.144,0.935,0.250,242815,356,4
demographics,0.866,0.478,0.866,0.577,907928,321,11
nice data,0.630,0.339,0.630,0.398,59768,305,60
sofa score,0.797,0.420,0.797,0.507,588216,143,27
lda,0.882,0.158,0.882,0.267,4022,136,8
admission information,0.597,0.062,0.597,0.110,17117,67,9
