concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,60849948,36331,1
medication,0.000,0.003,0.000,0.000,1575651,10240,834
laboratory value,0.005,0.015,0.005,0.005,4364463,7281,364
fluid balance,0.002,0.001,0.002,0.001,2342229,3391,31
respiratory,0.001,0.004,0.001,0.001,111503992,2819,135
hemodynamics,0.000,0.000,0.000,0.000,44018145,1326,66
infectiology,0.002,0.000,0.002,0.000,3148044,500,31
renal replacement therapy,0.000,0.000,0.000,0.000,9121015,460,46
clinical score,0.000,0.000,0.000,0.000,1722925,442,31
neurology,0.000,0.000,0.000,0.000,651721,365,13
position,0.000,0.000,0.000,0.000,236137,324,4
nice data,0.010,0.005,0.010,0.007,59592,303,60
demographics,0.000,0.000,0.000,0.000,888871,234,11
lda,0.000,0.000,0.000,0.000,4022,136,8
sofa score,0.000,0.000,0.000,0.000,577696,131,27
admission information,0.060,0.001,0.060,0.001,17117,67,9
