concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,63489879,37357,1
medication,0.000,0.000,0.000,0.000,1849906,11319,841
laboratory value,0.009,0.019,0.009,0.009,5522661,8168,364
respiratory,0.006,0.007,0.006,0.004,114075515,3911,135
fluid balance,0.006,0.001,0.006,0.002,2794159,3750,31
hemodynamics,0.005,0.004,0.005,0.003,45703864,1666,66
infectiology,0.003,0.002,0.003,0.003,3216799,607,31
clinical score,0.002,0.000,0.002,0.000,1766173,557,31
neurology,0.000,0.000,0.000,0.000,768000,543,14
renal replacement therapy,0.002,0.001,0.002,0.001,9129096,470,46
position,0.000,0.000,0.000,0.000,239920,340,4
nice data,0.020,0.012,0.020,0.014,59680,304,60
demographics,0.000,0.000,0.000,0.000,906631,301,11
sofa score,0.000,0.000,0.000,0.000,585636,141,27
lda,0.007,0.002,0.007,0.003,4022,136,8
admission information,0.000,0.000,0.000,0.000,17117,67,9
