concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,62867994,36785,1
medication,0.001,0.000,0.001,0.000,1680037,10664,836
laboratory value,0.004,0.013,0.004,0.004,5394102,7601,364
fluid balance,0.003,0.001,0.003,0.001,2446942,3471,31
respiratory,0.002,0.002,0.002,0.002,112083682,3108,135
hemodynamics,0.001,0.000,0.001,0.000,44148006,1415,66
infectiology,0.000,0.000,0.000,0.000,3187218,546,31
clinical score,0.000,0.000,0.000,0.000,1734766,482,31
renal replacement therapy,0.009,0.002,0.009,0.004,9121612,465,46
neurology,0.002,0.003,0.002,0.003,701927,417,14
position,0.006,0.001,0.006,0.002,236331,332,4
nice data,0.010,0.005,0.010,0.006,59592,303,60
demographics,0.000,0.000,0.000,0.000,899585,259,11
lda,0.000,0.000,0.000,0.000,4022,136,8
sofa score,0.007,0.002,0.007,0.003,581106,135,27
admission information,0.015,0.000,0.015,0.001,17117,67,9
