concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,60306148,35760,1
medication,0.000,0.000,0.000,0.000,1488402,9788,831
laboratory value,0.004,0.009,0.004,0.004,4154815,6977,363
fluid balance,0.001,0.001,0.001,0.001,2247034,3253,31
respiratory,0.002,0.002,0.002,0.002,108527223,2567,134
hemodynamics,0.001,0.000,0.001,0.000,43859692,1250,66
infectiology,0.002,0.002,0.002,0.002,3100006,456,31
renal replacement therapy,0.007,0.003,0.007,0.004,9111936,455,46
clinical score,0.000,0.000,0.000,0.000,1718628,417,31
neurology,0.003,0.015,0.003,0.005,611568,327,13
position,0.000,0.000,0.000,0.000,235850,314,3
nice data,0.000,0.000,0.000,0.000,59592,303,60
demographics,0.000,0.000,0.000,0.000,880437,209,11
lda,0.000,0.000,0.000,0.000,3970,134,8
sofa score,0.000,0.000,0.000,0.000,577281,130,27
admission information,0.015,0.000,0.015,0.000,17117,67,9
