concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,63270909,37129,1
medication,0.000,0.001,0.000,0.000,1782417,11009,839
laboratory value,0.006,0.018,0.006,0.006,5487993,7892,364
fluid balance,0.004,0.001,0.004,0.002,2603587,3618,31
respiratory,0.003,0.002,0.003,0.002,112209880,3462,135
hemodynamics,0.002,0.001,0.002,0.002,45648386,1528,66
infectiology,0.005,0.003,0.005,0.003,3201993,576,31
clinical score,0.000,0.000,0.000,0.000,1757499,522,31
neurology,0.000,0.000,0.000,0.000,746422,480,14
renal replacement therapy,0.006,0.003,0.006,0.004,9128905,469,46
position,0.003,0.000,0.003,0.001,236996,338,4
nice data,0.017,0.008,0.017,0.009,59592,303,60
demographics,0.000,0.000,0.000,0.000,905009,286,11
sofa score,0.000,0.000,0.000,0.000,583226,138,27
lda,0.015,0.002,0.015,0.003,4022,136,8
admission information,0.015,0.000,0.015,0.001,17117,67,9
