concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.000,0.000,0.000,63697633,37829,1
medication,0.003,0.003,0.003,0.002,1984361,11643,842
laboratory value,0.016,0.024,0.016,0.014,5613640,8735,364
respiratory,0.028,0.032,0.028,0.028,116045732,5063,135
fluid balance,0.017,0.003,0.017,0.005,2923460,3939,31
hemodynamics,0.009,0.003,0.009,0.004,46023144,2093,66
neurology,0.003,0.002,0.003,0.002,857009,714,14
infectiology,0.018,0.013,0.018,0.015,3250892,678,31
clinical score,0.020,0.007,0.020,0.010,1806822,602,31
renal replacement therapy,0.017,0.006,0.017,0.009,9136412,473,46
position,0.006,0.000,0.006,0.001,242746,351,4
demographics,0.012,0.001,0.012,0.002,907926,320,11
nice data,0.016,0.009,0.016,0.010,59768,305,60
sofa score,0.021,0.003,0.021,0.005,588216,143,27
lda,0.015,0.003,0.015,0.004,4022,136,8
admission information,0.030,0.002,0.030,0.004,17117,67,9
