concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.010,0.130,0.010,0.019,11912538,23520,1
medication,0.010,0.018,0.010,0.010,1047207,8727,742
laboratory value,0.061,0.143,0.061,0.062,182955,4659,311
respiratory,0.067,0.085,0.067,0.070,14116465,4155,98
fluid balance,0.056,0.068,0.056,0.051,87258,2893,25
hemodynamics,0.013,0.018,0.013,0.012,3358943,2231,59
neurology,0.019,0.014,0.019,0.015,563655,623,14
clinical score,0.027,0.029,0.027,0.022,193614,402,29
infectiology,0.044,0.027,0.044,0.031,125069,384,30
position,0.019,0.010,0.019,0.012,123165,319,4
nice data,0.044,0.026,0.044,0.022,51462,275,59
demographics,0.101,0.096,0.101,0.089,7695,188,11
renal replacement therapy,0.079,0.024,0.079,0.035,2370085,165,30
lda,0.049,0.012,0.049,0.020,2204,102,7
admission information,0.000,0.000,0.000,0.000,16558,60,9
sofa score,0.111,0.023,0.111,0.032,101327,45,19
