concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.003,0.099,0.003,0.006,11345328,20378,1
medication,0.006,0.010,0.006,0.005,1045313,8715,742
laboratory value,0.025,0.102,0.025,0.027,176603,4538,311
respiratory,0.022,0.045,0.022,0.027,14100665,3554,98
fluid balance,0.016,0.051,0.016,0.020,87111,2858,25
hemodynamics,0.012,0.093,0.012,0.012,3242539,1858,59
neurology,0.017,0.021,0.017,0.017,546591,572,14
infectiology,0.008,0.007,0.008,0.006,119460,370,30
clinical score,0.016,0.043,0.016,0.021,189003,369,29
position,0.003,0.008,0.003,0.004,120097,315,3
nice data,0.018,0.010,0.018,0.012,51462,275,59
demographics,0.038,0.276,0.038,0.067,7677,185,11
renal replacement therapy,0.038,0.031,0.038,0.034,2369301,160,30
lda,0.049,0.050,0.049,0.035,2204,102,7
admission information,0.000,0.000,0.000,0.000,16471,59,9
sofa score,0.023,0.023,0.023,0.023,100037,44,19
