concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.049,0.161,0.049,0.075,12341534,26137,1
medication,0.033,0.072,0.033,0.033,1047207,8727,742
laboratory value,0.258,0.248,0.258,0.234,185855,4736,312
respiratory,0.105,0.130,0.105,0.107,14142719,4580,98
fluid balance,0.233,0.109,0.233,0.124,87822,2905,25
hemodynamics,0.093,0.177,0.093,0.104,3395784,2395,59
neurology,0.343,0.241,0.343,0.277,568375,624,14
clinical score,0.216,0.152,0.216,0.165,210612,408,29
infectiology,0.167,0.135,0.167,0.127,125069,384,30
position,0.179,0.067,0.179,0.098,123165,319,4
nice data,0.145,0.172,0.145,0.096,51462,275,59
demographics,0.184,0.121,0.184,0.129,7721,190,11
renal replacement therapy,0.224,0.218,0.224,0.173,2370085,165,30
lda,0.147,0.031,0.147,0.050,2204,102,7
admission information,0.017,0.003,0.017,0.005,16558,60,9
sofa score,0.348,0.271,0.348,0.274,102617,46,19
