concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.002,0.108,0.002,0.004,10796604,17768,1
medication,0.005,0.012,0.005,0.005,1010206,8644,742
laboratory value,0.016,0.073,0.016,0.018,174546,4419,311
respiratory,0.012,0.036,0.012,0.012,14027202,2921,98
fluid balance,0.008,0.049,0.008,0.011,77187,2749,25
hemodynamics,0.003,0.008,0.003,0.004,3136538,1296,59
neurology,0.000,0.000,0.000,0.000,530659,544,14
infectiology,0.006,0.005,0.006,0.005,101700,344,30
clinical score,0.003,0.032,0.003,0.005,184584,341,28
position,0.000,0.000,0.000,0.000,103344,305,3
nice data,0.051,0.034,0.051,0.034,51373,274,59
demographics,0.028,0.109,0.028,0.028,7490,178,11
renal replacement therapy,0.000,0.000,0.000,0.000,2367952,152,28
lda,0.020,0.092,0.020,0.033,2199,101,7
admission information,0.000,0.000,0.000,0.000,16470,58,9
sofa score,0.000,0.000,0.000,0.000,95967,37,15
